invest,投資する
relate,関連する
predict,予測する
sensitive,敏感な
emotion,感情
identify,識別する
value,価値
manufacture,製造する
climate,気候
nutrition,栄養
rate,割合
modern,現代の
explore,探検する
reveal,明らかにする
injure,傷つける
proportion,割合
religion,宗教
tend,〜の傾向がある
succeed,成功する
familiar,精通している
blame,非難する
seldom,めったにない
budget,予算
adjust,調整する
territory,領土
organize,組織する
pain,痛み
prepare,準備する
publish,出版する
general,一般的な
evidence,証拠
generate,生成する
permit,許可する
cell,細胞
respond,応答する
principle,原理
essential,必要不可欠な
convince,納得させる
diversity,多様性
domestic,国内の
