good-enough mother,ほどよい母親
obsessive-compulsive disorder,強迫性障害
autonomy,自律性
juveenile,青少年の
secure,安全な
maternal,母の
novel,新奇な
bond,絆
caregiver,養育者
longevity,長寿
puberty,思春期
assimilation,同化
accommodation,調節
temper,気質、かんしゃく
weaning,離乳
habituation,馴化
intimate,親密な
primitive,原始的な
temperament,気質、かんしゃく
toddler,幼児、よちよち歩きの子
cohort,コホート
concrete operation stage,具体的操作機
critical period,臨界期
egocentrism,自己中心性
epigenetic theory,漸成説
foreclosure,早期完了
identity diffusion,アイデンティティ拡散
maternal deprivation,母性剥奪
object permanence,対象の永続性
preoperational period,前操作期
tantrum,かんしゃく
zone of proximal development,発達の最近接領域
visual cliff,視覚的断崖
vocalization,発声
midlife crisis,中年期危機
