condition,条件
mean,平均
rate,評定する
significantly,有意に
interaction,交互作用
scale,尺度
population,母集団
procedure,手続き
validity,妥当性
causal,原因の
variable,変数
examine,調査する
null hypothesis,帰無仮説
variance,分散
manipulation,操作
correlation,相関・相関関係
index,指標
introspection,内観
reliability,信頼性
statement,項目、発言
external validity,外的妥当性
inventory,質問紙
quantitative,量的な
psychometric,心理測定の
replicate,追試する・再現する
subscale,下位尺度
dependent variable,従属変数
internal validity,内的妥当性
assign (AtoB) ,(AをBに)割りあてる
effect size,効果量
internal consistency,内的整合性
significant difference,有意差
test-retest reliability,再検査信頼性
administer,実施する
coefficient,係数
confounding,交絡
counterbalance,相殺
nominal scale,名義尺度
normal distribution,正規分布
ordinal scale,順序尺度
outlier,外れ値
ratio scale,比率尺度
regression analysis,回帰分析
semi-structured,半構造化
situation sampling method,場面見本法
double bind test,二重盲検法
