intensive,集中的な、徹底的な
internalizing,内在化した
inherent,固有の、生まれつきの
integrate,統合する
intention,相互作用する
overlap,重複
prevalence,有病率
prohibition,禁止
reasonable,合理的な
realm,領域
replace,再発
simultaneously,同時に
superficial,表層的な
surrounding,環境
temporary,一次的な
transmission,伝達
controversy,論争
voluntary,自発的な
continuity,連続性
employ,使う、野党
extensive,広範囲の
implication,意味、ほのめかし
incidence,発生
magnitude,大きさ
moderate,中程度の
outline,概説する
pose,提示する
priority,優先事項
contradictory,対立した、矛盾した
entity,実体
excessive,過剰な
exert,行使する
inevitably,必然的に
intake,摂取
interfere,妨害する
interrelated,相互に関係のある
mataphor,メタファー
mortality rate,死亡率
mutual,相互の
odd,奇妙な
persist,主張する、固執する
pursuit,追求、研究
reassurance,再確認、再保証
repertoire,レパートリー
repetition,反復
resist,抵抗する
self-directed,自発的な
static,静的な、固定的な
suppress,抑制する
suspicion,疑い
undergraduate,大学生
uniform,同一の
vulnerable,～を受けやすい、～に弱い
credibility,信用性
eclecticism,折衷論
fragile,もろい
illuminate,明らかにする
incorporate,組み入れる
vulnerability,脆弱性
inferior,劣った
initiate,始める
insistence,主張、こだわり
instinct,本能
intricate,複雑な
justify,正当化する、弁明する
mention,述べる
overestimate,過大評価する
proceed,進む、～し続ける
prominence,卓越
prospect,見通し
provoke,引き起こす
puzzle,悩ませる
raw,加工していない
refine,改良する
restore,資源
scrutinize,精査する、吟味する
synthesize,統合する
transient,一時的な
undergo,経験する、～を受ける
accompany,伴わせる
alleviate,軽減する
colleague,仲間
confuse,混乱する
connotation,意味
correspond,一致する
defect,障害、欠点
derive,由来する
devote,ささげる、専念する
disrupt,崩壊させる
distort,ゆがめる
dominant,支配的な
inclination,傾向、好み
interrupt,妨害する
locate,配置する
mediator,媒介物
optimize,最大限に活用する
originate,生じる
overwhelm,苦しめる、悩ませる
parallel,類似した
postulate,仮定する
presume,仮定する、推定する
