avoidance,回避
reinforcement,強化
elicit,誘発する
aversive,嫌悪的な
transfer,転移
induce,誘導
discrimination,弁別
unconditioned,無条件の
reinforcer,強化子
extinction,消去
instrumental conditioning,道具的条件付け
Premack principle,プレマックの原理
vicariously,代理的に
Apititude Treatment Interaction,適正処遇交互作用
contingency,随伴性
differentiation,分化
intermittent reinforcement,間歇強化
latent learning,潜在学習
shaping,シェイピング
continuous reinforcement,連続強化
spontaneous recovery,自発的回復
experimentl neurosis,実験神経症
law of effect,効果の法則
leraned helplessness,学習性無力感
lerning set,学習の構え
omission training,オミッショントレーニング
taxis,走性
