clinical,臨床的な
depression,抑うつ
unconscious,無意識的な
grief,悲嘆
abuse,虐待
conscious,意識的な
practice,実践する
distress,ストレス、苦悩
intervention,回遊
coping,対処法
maltreatment,虐待
schizophrenia,統合失調症
traumatic,トラウマ、外傷的な
boundary,境界
diagnosis,診断
substance abuse,薬物乱用
bereaved,先立たれた
project,投影する
severity,（症状の）重さ
chronic,慢性的な
autism,自閉症
psychic,心的、内的
rumination,反すう
identification,同一視、同一化
victim,被害者
withdrawal,ひきこもり
compensation,補償
healing,癒し、修復
narcissistic,自己愛的な
bullying,いじめ
disturbance,障害、問題
mental illness,精神疾患
posttraumatic,(心的)外傷後の
alliance,同盟
anorexia nervosa,拒食症、神経性無食欲症
cognitive therapy,認知療法
collective unconscious,集合的無意識
countertransference,逆転移
irrational,不合理な
neurosis,神経症
play therapy,遊戯療法
regression,退行
separarion-individuation,個性化
addiction,中毒
cohesion,凝集性
compulsive,強迫的な
dialogue,対話
medication,薬物治療
relief,安堵
etiology,病因論
major depression,大うつ病
maladjustment,不適応
substance dependence,薬物依存
congruence,自己一致
dysphoric,不快な
impulse,衝動
infantile autism,早期幼児自閉症
paranoia,妄想
psychosomatic,心身の
rational-emotive therapy,論理情動理論
thinness,やせ
urge,衝動
unipolar,単極性の
acting out,行動化
agoraphobia,広場恐怖
antidepressant,抗うつ剤
applied behavioral analysis,応用行動分析
autogenic training,自律訓練法
bipolar disorder,双極性障害
bulmia nervosa,過食症、神経性大食症
co-dependency,共依存
conversion disorder,転換性障害
delirium,せん妄
delusion,妄想
dementia,認知症
dissociative disorder,解離性障害
dissociative fugue,解離性遁走
dissociative identity disorder,解離性障害
dysthymic disorder,気分変調性障害
endogenous,内因性の
flooding,フラッディング
hallucination,厳格
hypochondriasis,心気症
insomnia,不眠症
intrusive thought,侵入思考
irrational belief,不合理な信念
mental retardation,精神遅滞
mutism,かん黙
narcissistic personality disorder,自己愛性パーソナリティ障害
paranoid personality disorder,妄想性パーソナリティ障害
paranoid-schizoid position,妄想－分裂ポジション
pervasive developmental disorder,広汎性発達障害
psychogenic,心因性の
rationalization,合理化
recurrence,再発
schizoid personality disorder,スキゾイドパーソナリティ障害
schizotypal personality disorder,統合失調型パーソナリティ障害
socia anxiety disorder,社交性不安障害
splitting,分裂
sublimation,昇華
systematic desensitization,系統的脱感作法
transactional analysis,交流分析
unconditional positive regard,無条件の肯定的関心
working through,徹底操作
wound,傷つき
as-if personality,かのようなパーソナリティ
general adaption syndrome,汎適応症候群
