order,秩序
school,学派
period,期間
common,一般の
present,現在の、提示する
nature,性質、本質
context,文脈、背景、状況
difficulty,障害、困難
appropriate,適切な
external,外的な
interpersonal,対人関係の
notion,概念、考え
orientation,方向付け
adjustment,調整
material,刺激
indicate,示唆する
severe,重度な
subjective,主観的な
consistent,一貫した
phase,段階、時期
emphasis,強調、重視
complicated,複雑な
frequently,頻繁に
concern,関係する、心配させる
identify,特定する、同一化する
impairment,障害、損傷
serious,深刻な
attempt,試みる
finding,結果
alternative,選択肢
critical,重大な、批判的な
deal with,扱う
empirical,実証的な、経験的な
principle,原則
represent,表す
underlying,根底にある、基礎をなす
classification,分類
epistemic,認識論の、認識の
overcome,克服する
rely,依存する、頼る
activation,活性化
assume,想定する、仮定する
draw,導き出す
facilitate,促進する
note,書き留める、注意する
objective,客観的な
race,種
relevant,関連する、妥当な
convey,伝える
encounter,直面する、出会う
multiple,複数の
rigid,柔軟性のない
sequence,連続
shape,方向付ける、形成する
apparent,明白な、見かけ上の
concrete,具体的な
engage,携わる
ethical,倫理的な
expect,期待する
premise,前提、仮定
regard,見なす、評価する、考える
systematic,体系的な
crucial,決定的な、重要な
consequence,結果
demonstrate,証明する
ideal,理想
discipline,学問、訓練、規律
intense,激しい、強い
intensity,強度、激しさ
realize,認識する、理解する
sensitivity,感受性
stability,安定性
universal,普遍的な、一般的な
inference,推論
interpret,解釈する
principal,主要な、重要な
sophisticated,洗練された、高度な
agency,仲介
ambiguous,曖昧な、多義的な
attribute,帰属する、～のせいにする
discrete,ばらばらの、個々の
evaluate,評価する
intact,無傷の、完全な
ordinary,いつもの
readily,容易に
survival,生存
accomplish,達成する
deliberate,故意に、慎重な
evoke,引き起こす
identical,同一の、一卵性の
manifestation,表れ
profound,重大な、批判的な
valence,感情価
adverse,有害な、逆の
appreciation,認識、理解
comprehensive,包括的な、広範囲の
discriminate,区別する、弁別する
enhance,高める
foster,育成する
innate,生得的な
inspection,調査、検査
