allow,許可する
reduce,減らす
increase,増加する
decrease,減少する
realize,気づく
force,力
avoid,避ける
notice,気が付く
quality,質
quantity,量
complete,完了する
theory,仮説
figure,形
industry,産業
species,種類
effect,効果
individual,個人
available,利用可能な
particular,特に
various,様々な
instead,代わり
suppose,仮定する
regard,〜とみなす
attend,出席
base,基礎
aspect,側面
detail,詳細
establish,設立する
found,設立する
spread,広まる
expand,拡大する
restrict,制限する
freedom,自由
prohibit,禁止する
forgive,許す
destination,目的地
imagine,想像する
execute,実行する
raise,高める
compare,比較する
maintain,維持する
demand,要求する
supply,供給する
regulate,規制する
intelligent,知的な
government,政府
appropriate,適切な
content,内容
derive,由来する
observe,観察する
company,会社
propose,提案する
absolute,絶対の
method,方法
require,必要とする
unique,個性的
responsibility,責任
gain,得る
delay,遅れる
economy,経済
invest,投資する
relate,関連する
predict,予測する
sensitive,敏感な
emotion,感情
identify,識別する
value,価値
manufacture,製造する
climate,気候
nutrition,栄養
rate,割合
modern,現代の
explore,探検する
reveal,明らかにする
injure,傷つける
proportion,割合
religion,宗教
tend,〜の傾向がある
succeed,成功する
familiar,精通している
blame,非難する
seldom,めったにない
budget,予算
adjust,調整する
territory,領土
organize,組織する
pain,痛み
prepare,準備する
publish,出版する
general,一般的な
evidence,証拠
generate,生成する
permit,許可する
cell,細胞
respond,応答する
principle,原理
essential,必要不可欠な
convince,納得させる
diversity,多様性
domestic,国内の
