clinical,臨床的な
depression,抑うつ
unconscious,無意識的な
grief,悲嘆
abuse,虐待
conscious,意識的な
practice,実践する
distress,ストレス、苦悩
intervention,回遊
coping,対処法
maltreatment,虐待
schizophrenia,統合失調症
traumatic,トラウマ、外傷的な
boundary,境界
diagnosis,診断
substance abuse,薬物乱用
bereaved,先立たれた
project,投影する
severity,（症状の）重さ
chronic,慢性的な
autism,自閉症
psychic,心的、内的
rumination,反すう
identification,同一視、同一化
victim,被害者
withdrawal,ひきこもり
compensation,補償
healing,癒し、修復
narcissistic,自己愛的な
bullying,いじめ
disturbance,障害、問題
mental illness,精神疾患
posttraumatic,(心的)外傷後の
alliance,同盟
anorexia nervosa,拒食症、神経性無食欲症
cognitive therapy,認知療法
collective unconscious,集合的無意識
countertransference,逆転移
irrational,不合理な
neurosis,神経症
play therapy,遊戯療法
regression,退行
separarion-individuation,個性化
addiction,中毒
cohesion,凝集性
compulsive,強迫的な
dialogue,対話
medication,薬物治療
relief,安堵
etiology,病因論
major depression,大うつ病
maladjustment,不適応
substance dependence,薬物依存
congruence,自己一致
dysphoric,不快な
impulse,衝動
infantile autism,早期幼児自閉症
paranoia,妄想
psychosomatic,心身の
rational-emotive therapy,論理情動理論
thinness,やせ
urge,衝動
unipolar,単極性の
acting out,行動化
agoraphobia,広場恐怖
antidepressant,抗うつ剤
applied behavioral analysis,応用行動分析
autogenic training,自律訓練法
bipolar disorder,双極性障害
bulmia nervosa,過食症、神経性大食症
co-dependency,共依存
conversion disorder,転換性障害
delirium,せん妄
delusion,妄想
dementia,認知症
dissociative disorder,解離性障害
dissociative fugue,解離性遁走
dissociative identity disorder,解離性障害
dysthymic disorder,気分変調性障害
endogenous,内因性の
flooding,フラッディング
hallucination,厳格
hypochondriasis,心気症
insomnia,不眠症
intrusive thought,侵入思考
irrational belief,不合理な信念
mental retardation,精神遅滞
mutism,かん黙
narcissistic personality disorder,自己愛性パーソナリティ障害
paranoid personality disorder,妄想性パーソナリティ障害
paranoid-schizoid position,妄想－分裂ポジション
pervasive developmental disorder,広汎性発達障害
psychogenic,心因性の
rationalization,合理化
recurrence,再発
schizoid personality disorder,スキゾイドパーソナリティ障害
schizotypal personality disorder,統合失調型パーソナリティ障害
socia anxiety disorder,社交性不安障害
splitting,分裂
sublimation,昇華
systematic desensitization,系統的脱感作法
transactional analysis,交流分析
unconditional positive regard,無条件の肯定的関心
working through,徹底操作
wound,傷つき
as-if personality,かのようなパーソナリティ
general adaption syndrome,汎適応症候群
good-enough mother,ほどよい母親
obsessive-compulsive disorder,強迫性障害
autonomy,自律性
juveenile,青少年の
secure,安全な
maternal,母の
novel,新奇な
bond,絆
caregiver,養育者
longevity,長寿
puberty,思春期
assimilation,同化
accommodation,調節
temper,気質、かんしゃく
weaning,離乳
habituation,馴化
intimate,親密な
primitive,原始的な
temperament,気質、かんしゃく
toddler,幼児、よちよち歩きの子
cohort,コホート
concrete operation stage,具体的操作機
critical period,臨界期
egocentrism,自己中心性
epigenetic theory,漸成説
foreclosure,早期完了
identity diffusion,アイデンティティ拡散
maternal deprivation,母性剥奪
object permanence,対象の永続性
preoperational period,前操作期
tantrum,かんしゃく
zone of proximal development,発達の最近接領域
visual cliff,視覚的断崖
vocalization,発声
midlife crisis,中年期危機
condition,条件
mean,平均
rate,評定する
significantly,有意に
interaction,交互作用
scale,尺度
population,母集団
procedure,手続き
validity,妥当性
causal,原因の
variable,変数
examine,調査する
null hypothesis,帰無仮説
variance,分散
manipulation,操作
correlation,相関・相関関係
index,指標
introspection,内観
reliability,信頼性
statement,項目、発言
external validity,外的妥当性
inventory,質問紙
quantitative,量的な
psychometric,心理測定の
replicate,追試する・再現する
subscale,下位尺度
dependent variable,従属変数
internal validity,内的妥当性
assign (AtoB) ,(AをBに)割りあてる
effect size,効果量
internal consistency,内的整合性
significant difference,有意差
test-retest reliability,再検査信頼性
administer,実施する
coefficient,係数
confounding,交絡
counterbalance,相殺
nominal scale,名義尺度
normal distribution,正規分布
ordinal scale,順序尺度
outlier,外れ値
ratio scale,比率尺度
regression analysis,回帰分析
semi-structured,半構造化
situation sampling method,場面見本法
double bind test,二重盲検法
solitary,孤独
attraction,魅力
authority,権威
imitate,模倣する
isolation,孤立
misattribution,誤帰属
reciprocal,互恵的な
social referencing,社会的参照
appearance,見かけの
comformity,同調
delinquent,非行の
obedience,服従
persuasive,説得力のある
prejudice,偏見
altruism,愛他的な
bystander effect,傍観者効果
cautious shift,コ―シャルシフト
cognitive dissonance theory,認知的不協和理論
elaboration likehood model,精緻化見込みモデル
fundamental attribution error,根本的帰属の誤り
group polarzation,集団分極化
norm,規範
positive illusion,ポジティブ幻想
prisoners' delemma,囚人のジレンマ
prosocial behavior,向社会的行動
self-fulfilling prorhecy,自己成就的予言
self-presentation,自己呈示
social facilitation,社会的促進
social loafing,社会的手抜き
zero-sum game,ゼロサムゲーム
confirmation bias,確証バイアス
diffusion of responsibility,責任の分散
mere exposure effect,単純接触効果
recognition,再認
perception,知覚
auditory,聴覚
inhibition,抑制
duration,持続時間
adaptation,適応
implicit,潜在的な
explicit,顕在的な
representation,表象
short-term memory,短期記憶
induction,帰納法
rehearsal,リハーサル
retrieve,検索する
store,貯蔵する
analogy,類推
visual field,視野
autbiographical,自伝的な
information processing,情報処理
optical,視覚の
proactive,順向性の
retroactive,逆向性の
retina,網膜
retina image,網膜像
configuration,配置
intuition,直観
recollection,記憶
retention,保持
threshold,閾
apparent movement,仮現運動
binocular,両眼
monocular,単眼
binocular disparity,両眼視差
cone,錐体
declearative memory,宣言的記憶
deduction,演繹法
divergent thinking,拡散的思考
elaboration,精緻化
encode,符号化
episodic memory,エピソード記憶
heuristics,ヒューリスティックス
just noticeable differences,丁度可知差異
mental rotation,心的回転
nonsense syllable,無意味つづり
point of subjective equality,主観的等価点
procedural memory,手続き記憶
prospective memory,展望記憶
psychophysics,精神物理学
reconstruct,再構築する
rod,桿体
semantic memory,意味記憶
sensory memory,感覚記憶
size constancy,大きさの恒常性
autokinetic movement,自動運動
distal stimulus,遠刺激
proximal stimulus,近刺激
functional fixedness,機能的固着
induced motion,誘導運動
motion after effect,運動残効
pattern recognition,パターン認知
perceptual constancy,知覚の恒常性
subjective counter,主観的輪郭
avoidance,回避
reinforcement,強化
elicit,誘発する
aversive,嫌悪的な
transfer,転移
induce,誘導
discrimination,弁別
unconditioned,無条件の
reinforcer,強化子
extinction,消去
instrumental conditioning,道具的条件付け
Premack principle,プレマックの原理
vicariously,代理的に
Apititude Treatment Interaction,適正処遇交互作用
contingency,随伴性
differentiation,分化
intermittent reinforcement,間歇強化
latent learning,潜在学習
shaping,シェイピング
continuous reinforcement,連続強化
spontaneous recovery,自発的回復
experimentl neurosis,実験神経症
law of effect,効果の法則
leraned helplessness,学習性無力感
lerning set,学習の構え
omission training,オミッショントレーニング
taxis,走性
arousal,覚醒
psysiological,生理学的な
hemisphere,半球
cortex,皮質
immune,免疫のある
cerebral cortex,大脳皮質
fight-or-flight response,闘争逃走反応
hipppocampus,海馬
placebo,プラシーボ
amygdala,偏桃体
neuroimaging,神経画像
neurotransmitter,神経伝達物質
organ,臓器
plasticity,可塑性
prefrontal cortex,前頭前皮質
temporal lobe,側頭葉
action potential,活動電位
amnesia,健忘症
corpus callosum,脳梁
electroencephalogram,脳波
event-related potentional,事象関連電位
frontal lobe,前頭葉
hypothalamus,視床下部
lateralize,側性化
occipital lobe,後頭葉
parasympathetic nervous system,副交感神経系
